sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr3:155639965-155639984_GMPS_+	GMPS	8861.2	38968	8861.2	38968	2.1366	4.532e+08	8.2468e+06	10.484	1	5.1309e-26	1.0262e-25	1.1319e-22	True
chr7:53103592-53103611_POM121L12_-	POM121L12	25364	86149	25364	86149	1.764	1.8474e+09	4.4253e+07	9.1375	1	3.1969e-20	6.3938e-20	3.5262e-17	True
chr1:111060219-111060238_KCNA10_+	KCNA10	11847	44586	11847	44586	1.912	5.3594e+08	1.3114e+07	9.0408	1	7.78e-20	1.556e-19	5.7209e-17	True
chr14:94964548-94964567_SERPINA12_-	SERPINA12	4571.2	18411	4571.2	18411	2.0097	9.5769e+07	2.865e+06	8.1765	1	1.466e-16	2.932e-16	8.0849e-14	True
chr10:1053041-1053060_GTPBP4_-	GTPBP4	15963	51627	15963	51627	1.6933	6.3596e+08	2.1119e+07	7.7606	1	4.2263e-15	8.4526e-15	1.8647e-12	True
chr5:176813250-176813269_SLC34A1_-	SLC34A1	32431	94232	32431	94232	1.5388	1.9097e+09	6.5539e+07	7.6339	1	1.1392e-14	2.2784e-14	4.1885e-12	True
chr19:3771612-3771631_RAX2_-	RAX2	12749	41457	12749	41457	1.7011	4.1207e+08	1.4747e+07	7.4757	1	3.8407e-14	7.6813e-14	1.2104e-11	True
chr7:100841488-100841507_MOGAT3_-	MOGAT3	17194	53056	17194	53056	1.6256	6.4304e+08	2.3779e+07	7.3542	1	9.604e-14	1.9208e-13	2.6483e-11	True
chr11:116693853-116693872_APOA4_+	APOA4	28660	80840	28660	80840	1.496	1.3614e+09	5.3793e+07	7.1144	1	5.6195e-13	1.1239e-12	1.3774e-10	True
chr11:118850986-118851005_FOXR1_-	FOXR1	17164	50916	17164	50916	1.5686	5.6959e+08	2.3714e+07	6.931	1	2.0895e-12	4.179e-12	4.6095e-10	True
chr20:31814750-31814769_BPIFA3_+	BPIFA3	23551	66545	23551	66545	1.4985	9.2422e+08	3.931e+07	6.8573	1	3.5097e-12	7.0195e-12	7.0386e-10	True
chr4:156784840-156784859_ASIC5_+	ASIC5	14061	42224	14061	42224	1.5863	3.9658e+08	1.7243e+07	6.7822	1	5.9206e-12	1.1841e-11	1.0884e-09	True
chr6:132910573-132910592_TAAR5_+	TAAR5	16164	47480	16164	47480	1.5545	4.9035e+08	2.1544e+07	6.7469	1	7.5513e-12	1.5103e-11	1.2814e-09	True
chr3:140407105-140407124_TRIM42_-	TRIM42	17807	51264	17807	51264	1.5254	5.5968e+08	2.5148e+07	6.6716	1	1.2656e-11	2.5312e-11	1.9943e-09	True
chr1:156828344-156828363_INSRR_-	INSRR	17344	49764	17344	49764	1.5206	5.255e+08	2.4112e+07	6.6021	1	2.0268e-11	4.0537e-11	2.9808e-09	True
chr8:10480344-10480363_RP1L1_+	RP1L1	30761	81622	30761	81622	1.4078	1.2934e+09	6.0231e+07	6.5534	1	2.8113e-11	5.6227e-11	3.8761e-09	True
chr3:150659401-150659420_CLRN1_+	CLRN1	15086	43710	15086	43710	1.5347	4.0967e+08	1.9295e+07	6.5164	1	3.6008e-11	7.2017e-11	4.6726e-09	True
chr1:54618522-54618541_CDCP2_+	CDCP2	11888	35451	11888	35451	1.5762	2.776e+08	1.3188e+07	6.4884	1	4.3395e-11	8.679e-11	5.3183e-09	True
chr8:70981501-70981520_PRDM14_+	PRDM14	23232	61735	23232	61735	1.4099	7.4125e+08	3.8462e+07	6.2085	1	2.6753e-10	5.3507e-10	3.0619e-08	True
chr3:170716078-170716097_SLC2A2_+	SLC2A2	15467	43262	15467	43262	1.4838	3.8628e+08	2.008e+07	6.2027	1	2.776e-10	5.552e-10	3.0619e-08	True
chr10:127455303-127455322_MMP21_+	MMP21	3711.6	12387	3711.6	12387	1.7384	3.763e+07	2.0542e+06	6.0528	1	7.152e-10	1.4304e-09	7.513e-08	True
chr3:170716863-170716882_SLC2A2_+	SLC2A2	16516	44914	16516	44914	1.4432	4.0322e+08	2.2299e+07	6.0137	1	9.0694e-10	1.8139e-09	9.0941e-08	True
chr5:161117238-161117257_GABRA6_-	GABRA6	20445	53924	20445	53924	1.3992	5.6044e+08	3.1357e+07	5.9787	1	1.1245e-09	2.2491e-09	1.0786e-07	True
chr1:109235195-109235214_PRPF38B_+	PRPF38B	22395	58069	22395	58069	1.3746	6.3633e+08	3.627e+07	5.9235	1	1.5758e-09	3.1516e-09	1.4484e-07	True
chrX:136113494-136113513_GPR101_+	GPR101	18805	49759	18805	49759	1.4038	4.7906e+08	2.7438e+07	5.9093	1	1.7177e-09	3.4355e-09	1.5157e-07	True
chr20:31592094-31592113_SUN5_+	SUN5	14221	38412	14221	38412	1.4334	2.9258e+08	1.7559e+07	5.7729	1	3.8976e-09	7.7952e-09	3.307e-07	True
chr1:92709894-92709913_C1orf146_+	C1orf146	14567	39135	14567	39135	1.4257	3.0179e+08	1.8246e+07	5.7516	1	4.4224e-09	8.8448e-09	3.6133e-07	True
chr17:37761821-37761840_NEUROD2_+	NEUROD2	23938	60271	23938	60271	1.3321	6.6006e+08	4.0345e+07	5.7202	1	5.3205e-09	1.0641e-08	4.1918e-07	True
chr6:167570798-167570817_GPR31_+	GPR31	1426.9	5224.5	1426.9	5224.5	1.8717	7.2108e+06	4.4645e+05	5.6835	1	6.7062e-09	1.3412e-08	5.1014e-07	True
chr5:161324210-161324229_GABRA1_-	GABRA1	11498	31300	11498	31300	1.4447	1.9607e+08	1.2502e+07	5.6005	1	1.0694e-08	2.1388e-08	7.8638e-07	True
chr4:156764937-156764956_ASIC5_+	ASIC5	23450	58264	23450	58264	1.313	6.06e+08	3.9041e+07	5.5718	1	1.2609e-08	2.5218e-08	8.8941e-07	True
chr1:238050676-238050695_ZP4_-	ZP4	14068	37197	14068	37197	1.4027	2.6748e+08	1.7257e+07	5.5678	1	1.2902e-08	2.5803e-08	8.8941e-07	True
chr19:51509869-51509888_KLK9_+	KLK9	11408	30682	11408	30682	1.4274	1.8576e+08	1.2346e+07	5.4857	1	2.0606e-08	4.1212e-08	1.3775e-06	True
chr10:120817719-120817738_EIF3A_+	EIF3A	16699	42660	16699	42660	1.3531	3.3699e+08	2.2695e+07	5.4496	1	2.5249e-08	5.0498e-08	1.6382e-06	True
chr5:161113323-161113342_GABRA6_+	GABRA6	19010	47702	19010	47702	1.3273	4.1163e+08	2.7916e+07	5.4305	1	2.8109e-08	5.6218e-08	1.7717e-06	True
chr4:123329074-123329093_ADAD1_+	ADAD1	7424.9	20746	7424.9	20746	1.4823	8.8728e+07	6.2174e+06	5.3425	1	4.5911e-08	9.1822e-08	2.8133e-06	True
chr1:92696969-92696988_C1orf146_+	C1orf146	11371	29726	11371	29726	1.3863	1.6846e+08	1.2283e+07	5.2374	1	8.1477e-08	1.6295e-07	4.8578e-06	True
chr7:44425653-44425672_NUDCD3_+	NUDCD3	28032	65323	28032	65323	1.2205	6.9532e+08	5.1921e+07	5.1753	1	1.1376e-07	2.2753e-07	6.5815e-06	True
chr11:102487739-102487758_MMP20_-	MMP20	13610	34531	13610	34531	1.3432	2.1885e+08	1.6368e+07	5.1712	1	1.1635e-07	2.3271e-07	6.5815e-06	True
chr11:102480690-102480709_MMP20_-	MMP20	26277	61551	26277	61551	1.2279	6.2212e+08	4.6826e+07	5.1548	1	1.2697e-07	2.5395e-07	7.0026e-06	True
chr17:7833974-7833993_TRAPPC1_-	TRAPPC1	17600	43013	17600	43013	1.2891	3.2291e+08	2.4683e+07	5.1151	1	1.5678e-07	3.1356e-07	8.4357e-06	True
chr19:2427006-2427025_TIMM13_-	TIMM13	28726	66272	28726	66272	1.206	7.0487e+08	5.3989e+07	5.1099	1	1.6116e-07	3.2232e-07	8.4647e-06	True
chr5:161113015-161113034_GABRA6_-	GABRA6	9629.8	24971	9629.8	24971	1.3746	1.1768e+08	9.4188e+06	4.9988	1	2.8869e-07	5.7738e-07	1.4486e-05	True
chr15:42300005-42300024_PLA2G4E_+	PLA2G4E	13107	32731	13107	32731	1.3202	1.9255e+08	1.5413e+07	4.9985	1	2.8894e-07	5.7788e-07	1.4486e-05	True
chr1:89613327-89613346_GBP7_-	GBP7	6522.9	17751	6522.9	17751	1.4442	6.3037e+07	5.0554e+06	4.9938	1	2.9651e-07	5.9302e-07	1.4535e-05	True
chrX:18662553-18662572_RS1_-	RS1	13059	32571	13059	32571	1.3184	1.9035e+08	1.5324e+07	4.9844	1	3.1094e-07	6.2187e-07	1.4911e-05	True
chr1:153274911-153274930_PGLYRP3_-	PGLYRP3	10796	27050	10796	27050	1.3251	1.321e+08	1.1306e+07	4.8341	1	6.6922e-07	1.3384e-06	3.141e-05	True
chr11:5529203-5529222_UBQLN3_-	UBQLN3	21680	49937	21680	49937	1.2037	3.9921e+08	3.444e+07	4.8149	1	7.366e-07	1.4732e-06	3.3853e-05	True
chr4:189068286-189068305_TRIML1_-	TRIML1	19616	45358	19616	45358	1.2093	3.3133e+08	2.9351e+07	4.7515	1	1.0095e-06	2.019e-06	4.5449e-05	True
chr3:155633895-155633914_GMPS_+	GMPS	14241	33959	14241	33959	1.2537	1.9439e+08	1.7597e+07	4.7004	1	1.299e-06	2.598e-06	5.7311e-05	True
chrX:150832697-150832716_PASD1_+	PASD1	16135	37804	16135	37804	1.2283	2.3477e+08	2.1482e+07	4.6751	1	1.4694e-06	2.9388e-06	6.3558e-05	True
chr9:14720318-14720337_CER1_+	CER1	28971	63391	28971	63391	1.1296	5.9237e+08	5.4728e+07	4.6527	1	1.6382e-06	3.2765e-06	6.9499e-05	True
chr7:34724207-34724226_NPSR1_-	NPSR1	8180	20665	8180	20665	1.3369	7.7939e+07	7.2576e+06	4.6344	1	1.792e-06	3.5839e-06	7.3973e-05	True
chr4:156751181-156751200_ASIC5_-	ASIC5	21712	48926	21712	48926	1.1721	3.7032e+08	3.452e+07	4.632	1	1.8108e-06	3.6215e-06	7.3973e-05	True
chr3:164766977-164766996_SI_-	SI	12862	30638	12862	30638	1.2521	1.5798e+08	1.4956e+07	4.5964	1	2.1507e-06	4.3013e-06	8.6261e-05	True
chr22:22599712-22599731_VPREB1_+	VPREB1	22050	49279	22050	49279	1.1602	3.7072e+08	3.5382e+07	4.5777	1	2.351e-06	4.7021e-06	9.2614e-05	True
chr20:61638018-61638037_BHLHE23_-	BHLHE23	16717	38502	16717	38502	1.2036	2.373e+08	2.2733e+07	4.5691	1	2.4492e-06	4.8984e-06	9.4788e-05	True
chr2:86315768-86315787_POLR1A_+	POLR1A	13353	31377	13353	31377	1.2325	1.6243e+08	1.5878e+07	4.5233	1	3.0455e-06	6.0911e-06	0.00011584	True
